2025-11-30 20:56:36,886 | INFO | packages.data_handler | Starting IB historical fetch...
2025-11-30 20:56:36,886 | INFO | packages.data_handler | IB connection not found — attempting to reconnect.
2025-11-30 20:56:36,888 | INFO | ib_insync.client | Connecting to 127.0.0.1:4002 with clientId 1...
2025-11-30 20:56:36,888 | INFO | ib_insync.client | Connected
2025-11-30 20:56:36,888 | INFO | ib_insync.client | Logged on to server version 176
2025-11-30 20:56:36,888 | INFO | ib_insync.wrapper | Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-11-30 20:56:36,888 | INFO | ib_insync.wrapper | Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-11-30 20:56:36,888 | INFO | ib_insync.wrapper | Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2025-11-30 20:56:36,888 | INFO | ib_insync.client | API connection ready
2025-11-30 20:56:36,994 | INFO | ib_insync.ib | Synchronization complete
2025-11-30 20:56:36,994 | INFO | packages.data_handler | Connected to IB.
2025-11-30 20:56:36,994 | INFO | packages.data_handler | Loading WRDS universe from .\data\wrds_universe.csv
2025-11-30 20:56:38,046 | INFO | packages.data_handler | Loading tickers from .\data\tickers_across_dates_short.pkl
2025-11-30 20:56:38,174 | INFO | packages.data_handler | Fetching ticker: JJSF (1/5)
2025-11-30 20:56:38,450 | INFO | packages.data_handler | Fetching ticker: ELA (2/5)
2025-11-30 20:56:38,723 | INFO | packages.data_handler | Fetching ticker: PLXS (3/5)
2025-11-30 20:56:38,991 | INFO | packages.data_handler | Fetching ticker: RMCF (4/5)
2025-11-30 20:56:39,245 | INFO | packages.data_handler | Fetching ticker: FKWL (5/5)
2025-11-30 20:56:39,518 | INFO | packages.data_handler | Saved historical prices to disk.
2025-11-30 20:56:39,518 | INFO | packages.data_handler | Finished IB historical fetch successfully.
2025-11-30 21:26:01,833 | INFO | ib_insync.client | Connecting to 127.0.0.1:4002 with clientId 1...
2025-11-30 21:26:01,833 | INFO | ib_insync.client | Disconnecting
2025-11-30 21:26:01,833 | ERROR | ib_insync.client | API connection failed: CancelledError()
2025-11-30 21:29:35,669 | INFO | ib_insync.client | Connecting to 127.0.0.1:4002 with clientId 1...
2025-11-30 21:29:35,669 | INFO | ib_insync.client | Connected
2025-11-30 21:29:39,686 | INFO | ib_insync.client | Disconnecting
2025-11-30 21:29:39,686 | ERROR | ib_insync.client | API connection failed: TimeoutError()
2025-11-30 21:29:39,686 | INFO | ib_insync.client | Disconnected.
2025-11-30 21:38:39,772 | INFO | ib_insync.client | Connecting to 127.0.0.1:4002 with clientId 1...
2025-11-30 21:38:39,772 | INFO | ib_insync.client | Connected
2025-11-30 21:38:43,776 | INFO | ib_insync.client | Disconnecting
